,userId,movieId,imdbId,rating
0,1,1348,13442,4.0
1,1,1927,20629,5.0
2,1,2644,21814,4.0
3,1,2648,21884,4.0
4,1,1256,23969,5.0
5,1,2366,24216,4.0
6,1,940,29843,5.0
7,1,2899,31397,5.0
8,1,954,31679,5.0
9,1,919,32138,5.0
10,1,1282,32455,5.0
11,1,596,32910,5.0
12,1,923,33467,5.0
13,1,1029,33563,5.0
14,1,2654,34398,5.0
15,1,2018,34492,5.0
16,1,1024,38166,5.0
17,1,2099,38969,4.0
18,1,943,39420,4.0
19,1,1032,43274,5.0
20,1,1226,45061,5.0
21,1,2096,53285,4.0
22,1,1219,54215,2.0
23,1,2949,55928,5.0
24,1,3062,56197,4.0
25,1,2948,57076,5.0
26,1,1025,57546,5.0
27,1,2947,58150,5.0
28,1,2993,59800,5.0
29,1,2944,61578,5.0
30,1,2078,61852,5.0
31,1,2529,63442,5.0
32,1,1023,63819,5.0
33,1,3168,64276,4.0
34,1,5060,66026,5.0
35,1,1031,66817,5.0
36,1,1206,66921,5.0
37,1,3729,67741,5.0
38,1,1073,67992,5.0
39,1,2137,70016,5.0
40,1,2991,70328,5.0
41,1,3034,70608,5.0
42,1,3671,71230,5.0
43,1,3639,71807,4.0
44,1,1136,71853,5.0
45,1,2459,72271,5.0
46,1,1278,72431,5.0
47,1,1009,72951,3.0
48,1,2657,73629,3.0
49,1,2528,74812,3.0
50,1,1954,75148,5.0
51,1,1030,76538,3.0
52,1,2090,76618,5.0
53,1,260,76759,5.0
54,1,2116,77869,5.0
55,1,2640,78346,4.0
56,1,1214,78748,4.0
57,1,1208,78788,4.0
58,1,1080,79470,5.0
59,1,3702,79501,5.0
60,1,1220,80455,5.0
61,1,1196,80684,5.0
62,1,1258,81505,3.0
63,1,2641,81573,5.0
64,1,1587,82198,5.0
65,1,2872,82348,5.0
66,1,3703,82694,5.0
67,1,1198,82971,5.0
68,1,1097,83866,5.0
69,1,1298,84503,5.0
70,1,2139,84649,5.0
71,1,2105,84827,4.0
72,1,1210,86190,5.0
73,1,2716,87332,5.0
74,1,2115,87469,5.0
75,1,3441,87985,5.0
76,1,2406,88011,4.0
77,1,1240,88247,5.0
78,1,2161,88323,5.0
79,1,1270,88763,5.0
80,1,2033,88814,5.0
81,1,2005,89218,5.0
82,1,3479,89457,4.0
83,1,2143,89469,4.0
84,1,2093,89908,3.0
85,1,2414,90357,3.0
86,1,2470,90555,5.0
87,1,2141,90633,5.0
88,1,3740,90728,4.0
89,1,2046,91059,4.0
90,1,2048,91149,5.0
91,1,1275,91203,5.0
92,1,2450,91225,4.0
93,1,1967,91369,4.0
94,1,1090,91763,4.0
95,1,2478,92086,4.0
96,1,4006,92106,4.0
97,1,1222,93058,5.0
98,1,3448,93105,5.0
99,1,2000,93409,4.0
100,1,3527,93773,4.0
101,1,1197,93779,5.0
102,1,2985,93870,4.0
103,1,3033,94012,5.0
104,1,2174,94721,4.0
105,1,2797,94737,4.0
106,1,2987,96438,5.0
107,1,2193,96446,4.0
108,1,1127,96754,4.0
109,1,592,96895,4.0
110,1,1224,97499,5.0
111,1,2054,97523,4.0
112,1,1291,97576,5.0
113,1,2012,99088,4.0
114,1,590,99348,4.0
115,1,2616,99422,4.0
116,1,2291,99487,5.0
117,1,1213,99685,5.0
118,1,2916,100802,4.0
119,1,3489,102057,4.0
120,1,3386,102138,5.0
121,1,2094,102803,5.0
122,1,593,102926,4.0
123,1,3439,103060,4.0
124,1,3809,103241,4.0
125,1,1092,103772,5.0
126,1,1377,103776,3.0
127,1,3243,104187,3.0
128,1,2268,104257,4.0
129,1,1408,104691,3.0
130,1,1089,105236,5.0
131,1,3247,105417,3.0
132,1,1396,105435,3.0
133,1,2253,105629,2.0
134,1,3253,105793,5.0
135,1,441,106677,4.0
136,1,457,106977,5.0
137,1,1265,107048,4.0
138,1,3450,107050,5.0
139,1,480,107290,4.0
140,1,500,107614,3.0
141,1,527,108052,5.0
142,1,543,108174,4.0
143,1,3440,108308,4.0
144,1,552,108333,4.0
145,1,553,108358,5.0
146,1,423,109303,3.0
147,1,157,109370,5.0
148,1,349,109444,4.0
149,1,223,109445,3.0
150,1,231,109686,5.0
151,1,235,109707,4.0
152,1,356,109830,4.0
153,1,362,110213,5.0
154,1,367,110475,4.0
155,1,296,110912,3.0
156,1,316,111282,3.0
157,1,216,112508,5.0
158,1,110,112573,4.0
159,1,163,112851,5.0
160,1,3,113228,4.0
161,1,6,113277,4.0
162,1,151,114287,5.0
163,1,47,114369,5.0
164,1,333,114694,5.0
165,1,1,114709,4.0
166,1,50,114814,5.0
167,1,101,115734,5.0
168,1,608,116282,5.0
169,1,70,116367,3.0
170,1,1049,116409,5.0
171,1,780,116629,3.0
172,1,661,116683,5.0
173,1,648,117060,3.0
174,1,733,117500,4.0
175,1,804,117628,4.0
176,1,673,117705,3.0
177,1,1060,117802,4.0
178,1,1042,117887,4.0
179,1,736,117998,3.0
180,1,1517,118655,5.0
181,1,1473,118702,4.0
182,1,1732,118715,5.0
183,1,1552,118880,4.0
184,1,1573,119094,5.0
185,1,1625,119174,5.0
186,1,1500,119229,4.0
187,1,1644,119345,3.0
188,1,1620,119468,4.0
189,1,1617,119488,5.0
190,1,1445,119640,3.0
191,1,1580,119654,3.0
192,1,1676,120201,3.0
193,1,1793,120491,4.0
194,1,2329,120586,5.0
195,1,2997,120601,4.0
196,1,2617,120616,2.0
197,1,3052,120655,5.0
198,1,2826,120657,4.0
199,1,2353,120660,5.0
200,1,3147,120689,5.0
201,1,2542,120735,5.0
202,1,2058,120768,5.0
203,1,1804,120769,5.0
204,1,2273,120812,4.0
205,1,2028,120815,4.0
206,1,2427,120863,5.0
207,1,1777,120888,4.0
208,1,1805,120890,4.0
209,1,3793,120903,5.0
210,1,2628,120915,4.0
211,1,1920,122718,4.0
212,1,2387,124198,5.0
213,1,2395,128445,5.0
214,1,2761,129167,5.0
215,1,2338,130018,2.0
216,1,2692,130827,5.0
217,1,2571,133093,5.0
218,1,2596,133189,5.0
219,1,3273,134084,5.0
220,1,3176,134119,1.0
221,1,2959,137523,5.0
222,1,2492,138987,4.0
223,1,2580,139239,5.0
224,1,3053,151137,5.0
225,1,2502,151804,5.0
226,1,2389,155975,2.0
227,1,2700,158983,5.0
228,1,3744,162650,4.0
229,1,2858,169547,5.0
