movieId,imdbId,genre
1,114709,Animation
1,114709,Adventure
1,114709,Comedy
1,114709,Family
1,114709,Fantasy
2,113497,Adventure
2,113497,Comedy
2,113497,Family
2,113497,Fantasy
3,113228,Comedy
3,113228,Romance
4,114885,Comedy
4,114885,Drama
4,114885,Romance
5,113041,Comedy
5,113041,Family
5,113041,Romance
6,113277,Action
6,113277,Crime
6,113277,Drama
7,114319,Comedy
7,114319,Drama
7,114319,Romance
8,112302,Adventure
8,112302,Comedy
8,112302,Drama
8,112302,Family
8,112302,Romance
8,112302,Western
9,114576,Action
9,114576,Crime
9,114576,Thriller
10,113189,Action
10,113189,Adventure
10,113189,Thriller
11,112346,Comedy
11,112346,Drama
11,112346,Romance
12,112896,Comedy
12,112896,Fantasy
12,112896,Horror
13,112453,Animation
13,112453,Adventure
13,112453,Drama
13,112453,Family
13,112453,History
14,113987,Biography
14,113987,Drama
14,113987,History
15,112760,Action
15,112760,Adventure
15,112760,Comedy
16,112641,Crime
16,112641,Drama
17,114388,Drama
17,114388,Romance
18,113101,Comedy
19,112281,Adventure
19,112281,Comedy
19,112281,Crime
20,113845,Action
20,113845,Comedy
20,113845,Crime
20,113845,Drama
20,113845,Thriller
21,113161,Comedy
21,113161,Crime
21,113161,Thriller
22,112722,Drama
22,112722,Mystery
22,112722,Thriller
23,112401,Action
23,112401,Crime
23,112401,Thriller
24,114168,Drama
24,114168,Fantasy
24,114168,Mystery
24,114168,Thriller
25,113627,Drama
25,113627,Romance
26,114057,Drama
26,114057,Romance
27,114011,Comedy
27,114011,Drama
27,114011,Romance
28,114117,Drama
29,112682,Drama
29,112682,Fantasy
29,112682,Sci-Fi
30,115012,Crime
30,115012,Drama
30,115012,History
30,115012,Romance
30,115012,Thriller
31,112792,Biography
31,112792,Drama
32,114746,Mystery
32,114746,Sci-Fi
32,114746,Thriller
34,112431,Comedy
34,112431,Drama
34,112431,Family
36,112818,Crime
36,112818,Drama
38,113442,Comedy
38,113442,Family
38,113442,Romance
39,112697,Comedy
39,112697,Romance
40,112749,Drama
40,112749,Thriller
41,114279,Drama
41,114279,Sci-Fi
41,114279,War
42,112819,Action
42,112819,Crime
42,112819,Drama
42,112819,Thriller
42,112819,War
43,114272,Biography
43,114272,Drama
43,114272,History
43,114272,Romance
44,113855,Action
44,113855,Adventure
44,113855,Fantasy
44,113855,Sci-Fi
44,113855,Thriller
45,114681,Comedy
45,114681,Crime
45,114681,Drama
45,114681,Thriller
46,113347,Comedy
46,113347,Drama
46,113347,Romance
47,114369,Crime
47,114369,Drama
47,114369,Mystery
47,114369,Thriller
48,114148,Animation
48,114148,Adventure
48,114148,Drama
48,114148,Family
48,114148,Musical
48,114148,Romance
49,114916,Drama
49,114916,Romance
50,114814,Crime
50,114814,Drama
50,114814,Mystery
50,114814,Thriller
52,113819,Comedy
52,113819,Fantasy
52,113819,Romance
53,110299,Comedy
53,110299,Drama
54,112499,Comedy
54,112499,Family
54,112499,Sport
55,113158,Drama
55,113158,Music
57,113321,Comedy
57,113321,Drama
57,113321,Romance
58,110877,Biography
58,110877,Comedy
58,110877,Drama
58,110877,Romance
60,113419,Drama
60,113419,Family
60,113419,Fantasy
61,116260,Crime
61,116260,Drama
61,116260,Thriller
62,113862,Drama
62,113862,Music
63,116126,Comedy
63,116126,Crime
64,118002,Comedy
64,118002,Crime
64,118002,Romance
65,115683,Comedy
66,116839,Action
66,116839,Sci-Fi
66,116839,Thriller
68,113149,Comedy
68,113149,Drama
68,113149,Romance
69,113118,Comedy
69,113118,Drama
70,116367,Action
70,116367,Crime
70,116367,Horror
71,113010,Action
71,113010,Romance
71,113010,Thriller
72,113537,Comedy
72,113537,Drama
72,113537,Romance
73,113828,Drama
73,113828,History
74,115644,Drama
74,115644,Romance
75,115676,Comedy
75,115676,Thriller
76,114367,Horror
76,114367,Sci-Fi
76,114367,Thriller
77,113973,Documentary
77,113973,Biography
77,113973,Music
78,112744,Drama
78,112744,Thriller
79,116731,Crime
79,116731,Drama
79,116731,Thriller
80,112445,Drama
80,112445,Family
81,114660,Crime
81,114660,Drama
81,114660,Thriller
82,112379,Comedy
82,112379,Drama
83,114039,Drama
83,114039,Romance
85,112365,Drama
85,112365,Romance
86,118158,Adventure
86,118158,Drama
87,116151,Adventure
87,116151,Comedy
87,116151,Family
88,115697,Comedy
89,113972,Action
89,113972,Crime
89,113972,Drama
89,113972,Thriller
92,117002,Drama
92,117002,Horror
92,117002,Romance
92,117002,Thriller
93,114825,Comedy
93,114825,Fantasy
93,114825,Horror
93,114825,Romance
94,115639,Comedy
94,115639,Drama
94,115639,Romance
95,115759,Action
95,115759,Adventure
95,115759,Thriller
96,113403,Comedy
97,113247,Crime
97,113247,Drama
99,113283,Documentary
99,113283,Biography
100,115907,Crime
100,115907,Drama
100,115907,Mystery
100,115907,Thriller
101,115734,Comedy
101,115734,Crime
101,115734,Drama
102,117102,Comedy
103,118040,Drama
103,118040,Mystery
103,118040,Sci-Fi
103,118040,Thriller
104,116483,Comedy
104,116483,Sport
105,112579,Drama
105,112579,Romance
106,110251,Comedy
106,110251,Drama
107,117110,Action
107,117110,Adventure
107,117110,Comedy
107,117110,Family
107,117110,Musical
107,117110,Romance
108,112646,Documentary
110,112573,Biography
110,112573,Drama
110,112573,History
110,112573,War
111,75314,Crime
111,75314,Drama
112,113326,Action
112,113326,Comedy
112,113326,Crime
112,113326,Thriller
113,115645,Crime
113,115645,Drama
113,115645,Mystery
116,112373,Documentary
116,112373,Biography
116,112373,War
117,115033,Crime
117,115033,Drama
118,116606,Comedy
118,116606,Romance
119,114536,Comedy
121,106473,Biography
121,106473,Drama
122,103859,Comedy
