,movieId,imdbId,castId
0,1,114709,158
1,1,114709,741
2,1,114709,725543
3,1,114709,1815
4,1,114709,1728
5,1,114709,1652
6,1,114709,1633
7,1,114709,606658
8,1,114709,902184
9,1,114709,582418
10,1,114709,388
11,1,114709,293589
12,1,114709,422710
13,1,114709,29460
14,1,114709,39970
15,1,114709,73765
16,1,114709,7610142
17,1,114709,192368
18,1,114709,220635
19,1,114709,233733
20,1,114709,267724
21,1,114709,328678
22,1,114709,344362
23,1,114709,431957
24,1,114709,489849
25,1,114709,505239
26,1,114709,528802
27,1,114709,563902
28,1,114709,569680
29,1,114709,640891
30,1,114709,682066
31,1,114709,684442
32,1,114709,698413
33,1,114709,348562
34,1,114709,710020
35,1,114709,4056
36,1,114709,842303
37,1,114709,120783
38,1,114709,5124
39,2,113497,245
40,2,113497,404993
41,2,113497,379
42,2,113497,682300
43,2,113497,1372
44,2,113497,1564
45,2,113497,4979
46,2,113497,165101
47,2,113497,2123
48,2,113497,120410
49,2,113497,359695
50,2,113497,53390
51,2,113497,643488
52,2,113497,857326
53,2,113497,861809
54,2,113497,957648
55,2,113497,77615
56,2,113497,829121
57,2,113497,449949
58,2,113497,377666
59,2,113497,3742
60,2,113497,117206
61,2,113497,319710
62,2,113497,900506
63,2,113497,513323
64,2,113497,516927
65,2,113497,724545
66,2,113497,919798
67,2,113497,1888456
68,2,113497,2759735
69,2,113497,940430
70,3,113228,527
71,3,113228,493
72,3,113228,47
73,3,113228,268
74,3,113228,580565
75,3,113228,435
76,3,113228,1629
77,3,113228,756218
78,3,113228,346893
79,3,113228,25908
80,3,113228,459246
81,3,113228,942642
82,3,113228,370010
83,3,113228,263449
84,3,113228,505760
85,3,113228,552558
86,3,113228,911345
87,3,113228,907237
88,3,113228,128054
89,3,113228,743486
90,3,113228,160648
91,3,113228,808669
92,3,113228,729273
93,3,113228,775900
94,3,113228,594031
95,3,113228,733492
96,3,113228,776756
97,3,113228,776819
98,3,113228,426785
99,3,113228,648011
100,3,113228,424711
101,3,113228,439150
102,3,113228,342716
103,3,113228,4742842
104,3,113228,5952859
105,3,113228,3974084
106,3,113228,578335
107,3,113228,831471
108,3,113228,1993768
109,4,114885,1365
110,4,114885,291
111,4,114885,222643
112,4,114885,5375
113,4,114885,2138
114,4,114885,371660
115,4,114885,932112
116,4,114885,4729
117,4,114885,502442
118,4,114885,682495
119,4,114885,265668
120,4,114885,760254
121,4,114885,226934
122,4,114885,358650
123,4,114885,601469
124,4,114885,425594
125,4,114885,114931
126,4,114885,857451
127,4,114885,522352
128,4,114885,303175
129,4,114885,210915
130,4,114885,139455
131,4,114885,495135
132,4,114885,176659
133,4,114885,920084
134,4,114885,113720
135,4,114885,593273
136,4,114885,789249
137,4,114885,616756
138,4,114885,842470
139,4,114885,479123
140,4,114885,289177
141,4,114885,119698
142,4,114885,1498475
143,4,114885,93074
144,4,114885,129749
145,4,114885,218191
146,4,114885,2064
147,4,114885,263298
148,4,114885,373389
149,4,114885,2030039
150,4,114885,1327149
151,4,114885,1967181
152,4,114885,593
153,4,114885,1352774
154,4,114885,8136995
155,4,114885,648
156,5,113041,188
157,5,113041,473
158,5,113041,1737
159,5,113041,931090
160,5,113041,627624
161,5,113041,1085
162,5,113041,703
163,5,113041,324533
164,5,113041,570033
165,5,113041,11038
166,5,113041,506405
167,5,113041,150427
168,5,113041,651074
169,5,113041,736851
170,5,113041,30926
171,5,113041,134852
172,5,113041,15935
173,5,113041,589353
174,5,113041,583654
175,5,113041,938684
176,5,113041,907529
177,5,113041,799161
178,5,113041,15233
179,5,113041,256225
180,5,113041,1262751
181,5,113041,696447
182,5,113041,173466
183,5,113041,173454
184,5,113041,800830
185,5,113041,583653
186,5,113041,220984
187,5,113041,42963
188,5,113041,528635
189,5,113041,173473
190,5,113041,3028
191,5,113041,523629
192,5,113041,481222
193,5,113041,914211
194,5,113041,941781
195,5,113041,817928
196,5,113041,489605
197,5,113041,65735
198,5,113041,376063
199,5,113041,817379
200,5,113041,64277
201,5,113041,60995
202,5,113041,924959
203,5,113041,448335
204,5,113041,91356
205,5,113041,682403
206,5,113041,91357
207,5,113041,783524
208,5,113041,783525
209,5,113041,91443
210,5,113041,4887
211,5,113041,2502354
212,5,113041,582104
213,5,113041,582110
214,5,113041,636823
215,5,113041,871406
216,6,113277,199
217,6,113277,134
218,6,113277,174
219,6,113277,685
220,6,113277,1744
221,6,113277,893204
222,6,113277,312
223,6,113277,171
224,6,113277,932112
225,6,113277,836071
226,6,113277,505971
227,6,113277,371660
228,6,113277,1209
229,6,113277,204
230,6,113277,6888
231,6,113277,300824
232,6,113277,279
233,6,113277,5503
234,6,113277,823940
235,6,113277,1803
236,6,113277,738433
237,6,113277,872864
238,6,113277,274684
239,6,113277,365244
240,6,113277,5159
241,6,113277,687037
242,6,113277,329091
243,6,113277,119805
244,6,113277,5315
245,6,113277,75359
246,6,113277,43076
247,6,113277,49822
248,6,113277,133404
249,6,113277,133405
250,6,113277,200034
251,6,113277,212604
252,6,113277,241170
253,6,113277,253321
254,6,113277,256879
255,6,113277,283530
256,6,113277,285885
257,6,113277,286294
258,6,113277,295979
259,6,113277,336243
260,6,113277,336275
261,6,113277,365153
262,6,113277,367730
263,6,113277,372367
264,6,113277,379200
265,6,113277,441654
266,6,113277,508742
267,6,113277,532844
268,6,113277,520901
269,6,113277,555771
270,6,113277,589412
271,6,113277,610451
272,6,113277,641137
273,6,113277,731390
274,6,113277,732994
275,6,113277,740951
276,6,113277,766932
277,6,113277,814828
278,6,113277,893911
279,6,113277,909910
280,6,113277,956531
281,6,113277,1295801
282,6,113277,1315920
283,6,113277,85946
284,6,113277,3204131
285,6,113277,1069
286,6,113277,4379485
287,6,113277,8030233
288,6,113277,332452
289,6,113277,1269020
290,6,113277,1216962
291,6,113277,2209357
292,6,113277,2920349
293,6,113277,566695
294,6,113277,6689280
295,6,113277,592188
296,6,113277,612020
297,6,113277,675189
298,6,113277,731243
299,6,113277,291655
300,6,113277,3046500
301,6,113277,4563125
302,6,113277,900301
303,6,113277,921489
304,7,114319,148
305,7,114319,566
306,7,114319,1427
307,7,114319,545408
308,7,114319,939795
309,7,114319,1077
310,7,114319,1141
311,7,114319,452
312,7,114319,412374
313,7,114319,173125
314,7,114319,291830
315,7,114319,272
316,7,114319,501256
317,7,114319,115730
318,7,114319,48250
319,7,114319,316079
320,7,114319,893174
321,7,114319,153767
322,7,114319,553269
323,7,114319,810397
324,7,114319,526677
325,7,114319,214416
326,7,114319,391799
327,7,114319,522974
328,7,114319,923840
329,7,114319,178310
330,7,114319,43602
331,7,114319,313201
332,7,114319,302916
333,7,114319,766046
334,7,114319,651403
